,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
0,0.22870355099380338,0.22250935561805862,0.2806241600104987,0.36379286226144236,0.28013616390731333,0.36206372104978113
1,0.23038972146465753,0.22171398476154622,0.3155762892383185,0.35841278267523025,0.3139709352215795,0.3570072283933542
2,0.23405096631919997,0.2213969803804788,0.31426043509714796,0.3559379191309716,0.30960624531293157,0.3545992609114339
3,0.23481968761711047,0.2206894701460633,0.2877785070913005,0.3651586221399007,0.2828102752195545,0.3636247927562466
4,0.2251639842012191,0.22293258735789892,0.337887678078731,0.35266542254161826,0.33785794579558004,0.35131202845055554
0,0.22735413035787017,0.2223492130554723,0.28926970571568333,0.3650563960611374,0.2886059348041399,0.36298165087844847
1,0.23048026190056736,0.2212114677177695,0.315451900740211,0.36189389197263155,0.3134316266527166,0.3599186248535573
2,0.23337894326652792,0.22105534374402164,0.3190036303943037,0.35827416435627246,0.3135651645890082,0.35658955379431756
3,0.2346636782109044,0.2201557450287416,0.2886601663535212,0.368479318753377,0.2837629310728158,0.3666991462391064
4,0.22492890103151883,0.222151538686014,0.33928518061009927,0.3570464726605993,0.3392398470405431,0.3558494479773099
0,0.22631977092563096,0.22215881242424332,0.29543153015876,0.3659093512811932,0.29506425861390917,0.36407215858511244
1,0.22975769524690026,0.22088037103996783,0.31985297607052476,0.3638185831354126,0.31772972812827904,0.36183326533354887
2,0.23389244729448014,0.2203352349240994,0.31570997249100574,0.3623135395573932,0.3105411142024693,0.3607746674929275
3,0.2341356991013767,0.22012435660478874,0.2920775973848221,0.3686621332062404,0.2869822856501515,0.36687971748535975
4,0.22416638051324447,0.2217819212689282,0.3437228790147847,0.3592329403463024,0.3437122749488597,0.3579911499641425
0,0.22686611308358054,0.22289802207829112,0.29201300689286214,0.3617249486739219,0.29165668200512185,0.3598331543197065
1,0.2301824877741849,0.22140837642444583,0.31719647408132245,0.36057010341093043,0.3152045353520768,0.3587785963327247
2,0.23434904298491155,0.22089337724654562,0.31306300141144594,0.35908858424016565,0.3078466173632868,0.35753205766821594
3,0.23424733386892987,0.22094297755179224,0.2913969836105388,0.3639715025949407,0.28630219677027957,0.36216193650164763
4,0.2247071113552247,0.2224721080072827,0.3405423799665884,0.3553994917563278,0.3405422810766625,0.3539890611916522
0,0.2251684488689913,0.2213142575538572,0.3025963640816097,0.370946301441204,0.3022182397202432,0.3688980313990312
1,0.2282984833510964,0.22020280102348289,0.3288230287050691,0.36779141298990425,0.3263685282029324,0.36574252559305465
2,0.23342226845693734,0.21950852367267645,0.31825405741642765,0.36708271012063043,0.3133102771511185,0.3655624934389089
3,0.2335893509661693,0.21942068538862183,0.2955025120918524,0.3729166538963704,0.2903060110966198,0.3709210371086338
4,0.22277571843288094,0.22105716833344408,0.35182988616049216,0.36346116878362633,0.3518298478824168,0.3621802879360869
