,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
4,0.16218997540700664,0.09956393707072017,0.6581564866926572,0.8707371641302819,0.6564409934665587,0.8706123409882915
0,0.15665782196675102,0.10102972306521787,0.6622441167879669,0.8685240203886646,0.6622396163838601,0.8684838539331969
1,0.16104782808081802,0.09945806887807135,0.6651775658507578,0.8706793916280579,0.6647829801793065,0.8706102240195195
2,0.1564326499440657,0.10081681413417064,0.6915884788827155,0.8661988461752994,0.6915883452296157,0.8661704521655444
3,0.15825262168886678,0.10096995408262137,0.6742706396980802,0.8668371144073908,0.6742631638564849,0.8667907616781471
4,0.16217648660063735,0.09955211740189308,0.6582034908469497,0.8707676566804097,0.6564981364336047,0.8706430595104542
0,0.15670417636174036,0.1009832073340557,0.6620435559125375,0.8686449324061668,0.6620397030388365,0.8686049304083958
1,0.16104547034247804,0.09941648823253195,0.6651851188977951,0.8707865542615861,0.6647927952540439,0.8707183899196835
2,0.15642600194534187,0.10079635173655194,0.6916147355642304,0.8662532379263146,0.6916145581298165,0.8662247723805953
3,0.1582349869899068,0.10095469591852557,0.6743432532248035,0.8668776896662689,0.6743357560313398,0.8668310187003908
4,0.16218213301273995,0.09953681197230643,0.6581763115443555,0.8708061527926494,0.6564742169754323,0.8706828318709203
0,0.15674340948736257,0.10094952992739555,0.6618743842591412,0.8687334408295431,0.6618704554933831,0.8686925550232817
1,0.16107665070462868,0.09938372918327455,0.6650640498964431,0.8708741648297943,0.6646629823034156,0.870803575887126
2,0.15642294423076417,0.1007747444587405,0.6916268591065049,0.8663114650021212,0.6916266142513474,0.8662821198667631
3,0.1582445480171129,0.10095000201634108,0.6743047511516472,0.8668905317117819,0.6742963996434144,0.866843401831951
4,0.1623650824321043,0.09952301993500733,0.657395572594291,0.8708424683899683,0.6556987518967462,0.8707186663246229
0,0.15674357017345272,0.10093678890304383,0.6618740592061991,0.8687640101319501,0.6618697622235034,0.8687256980360242
1,0.16113546900604644,0.09936670743931218,0.6648282769226814,0.8709178402213995,0.6644180361256904,0.8708478278012544
2,0.15645469287399427,0.10076118447438452,0.6915018570981295,0.8663463351677821,0.6915014225127559,0.8663181028976686
3,0.15818440976643028,0.10092705953588373,0.6745519230179726,0.8669486991959722,0.6745439092493498,0.8669039188294403
4,0.16232628875076222,0.0995225028994249,0.6575486103756618,0.8708451515607225,0.6558632591547524,0.8707200095892479
